,mark,model,generation
0,opel,adam,
1,opel,agila,gen-b-2008
2,opel,agila,gen-a-2000-2007
3,opel,ampera,
4,opel,antara,
5,opel,astra,gen-g-1998-2009
6,opel,astra,gen-h-2004-2013
7,opel,astra,gen-j-2009-2015
8,opel,astra,gen-k-2015
9,opel,astra,gen-k-2009-2015
10,opel,astra,gen-l-2021
11,opel,combo,gen-c-2001-2011
12,opel,combo,gen-d-2011
13,opel,combo,gen-e-2018
14,opel,corsa,gen-b-1993-2000
15,opel,corsa,gen-c-2000-2006
16,opel,corsa,gen-d-2006-2014
17,opel,corsa,gen-e-2014
18,opel,corsa,gen-f-2019
19,opel,crossland-x,
20,opel,frontera,gen-b-1998-2004
21,opel,grandland-x,
22,opel,insignia,gen-a-2008-2017
23,opel,insignia,gen-b-2017
24,opel,karl,
25,opel,meriva,gen-i-2002-2010
26,opel,meriva,gen-ii-2010
27,opel,mokka,
28,opel,omega,gen-b-1994-1999
29,opel,omega,gen-b-fl-1999-2003
30,opel,signum,
31,opel,tigra,gen-ii-2004-2009
32,opel,vectra,gen-b-1995-2002
33,opel,vectra,gen-c-2002-2008
34,opel,vivaro,
35,opel,zafira,gen-a-1999-2005
36,opel,zafira,gen-b-2005-2011
37,opel,zafira,gen-c-2011
38,audi,80,gen-b3-1986-1991
39,audi,80,gen-b4-1991-1995
40,audi,a1,
41,audi,a2,
42,audi,a3,gen-8p-2003-2012
43,audi,a3,gen-8v-2012
44,audi,a3,gen-audi-a3-8y
45,audi,a3,gen-8l-1996-2003
46,audi,a4,gen-b6-2000-2004
47,audi,a4,gen-b7-2004-2007
48,audi,a4,gen-b8-2007-2015
49,audi,a4,gen-b9-2015
50,audi,a4,gen-b5-1995-2001
51,audi,a4-allroad,
52,audi,a5,gen-8t-2007-2016
53,audi,a5,gen-f5-2016
54,audi,a6,gen-c5-1997-2004
55,audi,a6,gen-c6-2004-2011
56,audi,a6,gen-c7-2011
57,audi,a6,gen-c8-2018
58,audi,a6-allroad,gen-c6-2006-2011
59,audi,a6-allroad,gen-c7-2012
60,audi,a6-allroad,gen-c8-2019
61,audi,a6-allroad,gen-c5-1999-2005
62,audi,a7,gen-c7-2011-2018
63,audi,a7,gen-c8-2018-a7
64,audi,a8,gen-d3-2002-2010
65,audi,a8,gen-d4-2010
66,audi,a8,gen-d5-2017
67,audi,a8,gen-d2-1994-2002
68,audi,e-tron,
69,audi,e-tron-gt,
70,audi,q2,
71,audi,q3,
72,audi,q4,
73,audi,q4-sportback,
74,audi,q5,gen-8r-2008-2016
75,audi,q5,gen-fy-2017
76,audi,q7,gen-i-2005-2015
77,audi,q7,
78,audi,q8,
79,audi,r8,
80,audi,rs3,
81,audi,rs4,
82,audi,rs5,
83,audi,rs6,
84,audi,rs7,
85,audi,rs-q3,
86,audi,rs-q8,
87,audi,s3,gen-8p-2003-2012-s3
88,audi,s3,gen-8v-2012-s3
89,audi,s3,gen-8y-2020-s3
90,audi,s4,gen-b6-2000-2004-s4
91,audi,s4,gen-b7-2004-2007-s4
92,audi,s4,gen-b8-2007-2015-s4
93,audi,s4,gen-b9-2015-s4
94,audi,s5,
95,audi,s6,gen-c5-1997-2004-s6
96,audi,s6,gen-c6-2004-2011-s6
97,audi,s6,gen-c7-2011-s6
98,audi,s6,gen-c8-2018-s6
99,audi,s7,
100,audi,s8,gen-d3-2002-2010-s8
101,audi,s8,gen-d4-2010-s8
102,audi,s8,gen-d5-2017-s8
103,audi,sq5,
104,audi,sq5,
105,audi,sq8,
106,audi,tt,gen-8n-1998-2006
107,audi,tt,gen-8s-2014
108,audi,tt,gen-8j-2006-2013
109,audi,tt-s,
110,bmw,3gt,
111,bmw,5gt,
112,bmw,6gt,
113,bmw,i3,
114,bmw,i8,
115,bmw,ix,
116,bmw,ix3,
117,bmw,m2,
118,bmw,m3,
119,bmw,m4,
120,bmw,m5,
121,bmw,m6,
122,bmw,m8,
123,bmw,seria-1,gen-e87-2004-2013
124,bmw,seria-1,gen-f20-2011
125,bmw,seria-1,gen-f40-2019
126,bmw,seria-2,
127,bmw,seria-3,gen-e30-1982-1994
128,bmw,seria-3,gen-e36-1990-1999
129,bmw,seria-3,gen-e46-1998-2007
130,bmw,seria-3,gen-e90-2005-2012
131,bmw,seria-3,gen-f30-2012
132,bmw,seria-3,gen-g20-2019
133,bmw,seria-4,
134,bmw,seria-5,gen-e34-1988-1996
135,bmw,seria-5,gen-e39-1996-2003
136,bmw,seria-5,gen-e60-2003-2010
137,bmw,seria-5,gen-f10-2009
138,bmw,seria-5,gen-g30-2017
139,bmw,seria-6,gen-e63-e64-2002-2010
140,bmw,seria-6,gen-f12-13-2011
141,bmw,seria-6,gen-g32-2017
142,bmw,seria-7,gen-e38-1994-2001
143,bmw,seria-7,gen-e65-66-2001-2008
144,bmw,seria-7,gen-f01-2008-2015
145,bmw,seria-7,gen-g11-12-2015
146,bmw,seria-8,gen-g15-2018
147,bmw,x1,gen-e84-2009-2015
148,bmw,x1,gen-f48-2015
149,bmw,x2,
150,bmw,x3,gen-f25-2010
151,bmw,x3,gen-g01-2017
152,bmw,x3,gen-e83-2003-2010
153,bmw,x3-m,
154,bmw,x4,gen-f26-2014%E2%80%932018
155,bmw,x4,gen-g02-2018
156,bmw,x4,gen-g29-2018
157,bmw,x4-m,
158,bmw,x5,gen-e70-2006-2013
159,bmw,x5,gen-f15-2013
160,bmw,x5,gen-g05-2018
161,bmw,x5,gen-e53-1999-2006
162,bmw,x5-m,
163,bmw,x6,gen-f16-2014
164,bmw,x6,gen-g06-2019
165,bmw,x6,gen-e71-2008-2014
166,bmw,x6-m,
167,bmw,x7,
168,bmw,z4,
169,volkswagen,amarok,
170,volkswagen,arteon,
171,volkswagen,atlas,
172,volkswagen,beetle,
173,volkswagen,caddy,gen-ii-1995-2003
174,volkswagen,caddy,gen-iii-2004
175,volkswagen,caddy,gen-iv-2015
176,volkswagen,caddy,gen-v-2021
177,volkswagen,california,
178,volkswagen,caravelle,
179,volkswagen,cc,
180,volkswagen,crafter,
181,volkswagen,eos,
182,volkswagen,fox,
183,volkswagen,golf,gen-ii-1983-1992
184,volkswagen,golf,gen-iii-1991-1998
185,volkswagen,golf,gen-iv-1997-2006
186,volkswagen,golf,gen-v-2003-2009
187,volkswagen,golf,gen-vi-2008-2013
188,volkswagen,golf,gen-vii-2012
189,volkswagen,golf,gen-viii-2020
190,volkswagen,golf-plus,
191,volkswagen,golf-sportsvan,
192,volkswagen,id3,
193,volkswagen,id4,
194,volkswagen,jetta,gen-a5-2005-2010
195,volkswagen,jetta,gen-a6-2010
196,volkswagen,lupo,
